                      ,internalAuthorRatio,internalDiffAuthorRatio,diffAuthorCount,totalCommits,createdAt ,updatedAt
Parakeet              ,1.00               ,0.83                   ,6              ,242         ,2020-02-28,2020-05-22
Quantum               ,1.00               ,1.00                   ,1              ,6           ,2020-05-18,2020-05-28
VisionTools           ,1.00               ,1.00                   ,1              ,27          ,2016-12-08,2019-12-05
PaddleRec             ,0.97               ,0.82                   ,17             ,618         ,2020-04-28,2020-05-26
PaddlePaddle.org      ,0.87               ,0.50                   ,4              ,51          ,2017-09-14,2020-05-21
Paddle.js             ,0.84               ,0.75                   ,4              ,20          ,2020-03-26,2020-05-27
benchmark             ,0.82               ,0.44                   ,32             ,533         ,2019-02-28,2020-05-28
PaddleSeg             ,0.82               ,0.56                   ,18             ,650         ,2019-08-26,2020-05-28
PaddleFL              ,0.80               ,0.20                   ,10             ,290         ,2019-09-25,2020-05-28
PaddleHub             ,0.79               ,0.25                   ,20             ,1597        ,2018-12-21,2020-05-28
hapi                  ,0.77               ,0.42                   ,12             ,409         ,2019-12-16,2020-05-28
ERNIE                 ,0.72               ,0.40                   ,30             ,275         ,2019-03-03,2020-05-28
epep                  ,0.69               ,0.33                   ,3              ,26          ,2019-08-22,2020-04-20
X2Paddle              ,0.64               ,0.50                   ,14             ,1175        ,2019-01-09,2020-05-26
Anakin                ,0.61               ,0.57                   ,7              ,24          ,2018-05-18,2020-05-27
PLSC                  ,0.58               ,0.50                   ,2              ,57          ,2019-12-13,2020-05-27
PaddleSlim            ,0.56               ,0.50                   ,18             ,494         ,2019-12-16,2020-05-28
continuous_integration,0.53               ,0.60                   ,5              ,113         ,2020-03-04,2020-05-26
Paddle-Lite-Demo      ,0.52               ,0.25                   ,8              ,61          ,2019-08-21,2020-05-27
Fleet                 ,0.50               ,0.45                   ,22             ,415         ,2018-12-12,2020-05-26
Paddle                ,0.49               ,0.24                   ,187            ,5929        ,2016-08-15,2020-05-28
PARL                  ,0.47               ,0.43                   ,7              ,162         ,2018-04-25,2020-05-28
ElasticCTR            ,0.47               ,0.67                   ,3              ,69          ,2019-12-03,2020-05-26
Research              ,0.46               ,0.35                   ,31             ,122         ,2020-02-13,2020-05-27
Serving               ,0.46               ,0.42                   ,19             ,2215        ,2019-03-31,2020-05-28
models                ,0.43               ,0.31                   ,126            ,1785        ,2017-04-20,2020-05-28
Paddle-Inference-Demo ,0.38               ,0.67                   ,6              ,37          ,2020-05-06,2020-05-26
DeepSpeech            ,0.34               ,0.33                   ,3              ,39          ,2017-11-14,2020-05-28
FluidDoc              ,0.33               ,0.29                   ,115            ,1156        ,2018-06-07,2020-05-27
AutoDL                ,0.32               ,0.20                   ,5              ,24          ,2019-02-21,2020-05-22
book                  ,0.31               ,0.36                   ,22             ,124         ,2016-12-16,2020-05-28
PaddleX               ,0.31               ,0.50                   ,10             ,656         ,2020-03-11,2020-05-28
PaddleDetection       ,0.30               ,0.27                   ,22             ,453         ,2019-10-25,2020-05-28
examples              ,0.28               ,0.40                   ,5              ,34          ,2019-08-23,2020-05-05
paddle-ce-latest-kpis ,0.26               ,0.65                   ,20             ,582         ,2018-04-02,2020-05-25
PGL                   ,0.24               ,0.27                   ,15             ,260         ,2019-06-11,2020-05-28
Paddle-Lite           ,0.22               ,0.34                   ,50             ,1593        ,2017-09-20,2020-05-28
Contrib               ,0.12               ,0.20                   ,5              ,17          ,2020-02-13,2020-04-27
Paddle-bot            ,0.10               ,0.33                   ,3              ,10          ,2020-04-27,2020-05-15
PaddleCloud           ,0.10               ,0.50                   ,2              ,254         ,2017-04-26,2020-05-26
VisualDL              ,0.09               ,0.29                   ,7              ,83          ,2017-12-20,2020-05-28
continuous_evaluation ,0.04               ,0.50                   ,2              ,28          ,2018-03-14,2020-03-11
PaddleCraft           ,0.04               ,0.50                   ,2              ,26          ,2019-11-28,2020-03-04
PaddleClas            ,0.03               ,0.25                   ,8              ,520         ,2020-03-30,2020-05-28
PALM                  ,0.03               ,0.25                   ,8              ,348         ,2019-09-24,2020-05-28
paddle2onnx           ,0.03               ,0.33                   ,6              ,81          ,2018-03-27,2020-05-25
RLSchool              ,0.02               ,0.33                   ,6              ,97          ,2019-07-13,2020-05-28
PaddleOCR             ,0.02               ,0.20                   ,5              ,203         ,2020-05-08,2020-05-28
tutorials             ,0.00               ,0.00                   ,4              ,33          ,2019-12-11,2020-05-27
paddle-k8s-operator   ,0.00               ,0.00                   ,2              ,3           ,2019-04-04,2020-04-29
any                   ,                   ,                       ,0              ,0           ,2019-05-30,2019-05-30
CLA                   ,                   ,                       ,0              ,0           ,2017-10-03,2017-10-03
mirrors-yapf          ,                   ,                       ,0              ,0           ,2017-05-31,2017-05-31
Mobile                ,                   ,                       ,0              ,0           ,2017-07-28,2020-04-01
recordio              ,                   ,                       ,0              ,0           ,2017-06-02,2019-10-14
talks                 ,                   ,                       ,0              ,0           ,2017-04-19,2017-05-02
tape                  ,                   ,                       ,0              ,1           ,2018-06-18,2020-01-14
XWorld                ,                   ,                       ,0              ,0           ,2017-08-22,2020-05-12
